date,ip,attack_type,threat_theme,threat_level,is_malicious,abuseip_score,usage_type,abuseip_categories,abuseip_distinct_users,abuseip_last_reported,country,isp,infra_owner
2026-04-22,1.0.148.170,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2022-11-26T17:23:53+00:00,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,66.249.68.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Google LLC,Google LLC
2026-04-22,34.146.150.144,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-09-06T07:42:52+00:00,Japan,Google LLC,Google Cloud (asia-northeast1)
2026-04-22,104.255.58.44,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Germany,"Amazon.com, Inc.",Amazon Technologies Inc. (eu-central-1)
2026-04-22,104.40.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2022-10-01T07:00:15+00:00,United States,Microsoft Corporation,Microsoft Azure Cloud (westus)
2025-08-29,167.88.164.166,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,RouterHosting LLC,RouterHosting LLC
2026-04-22,1.0.148.55,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,13.130.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,"Amazon.com, Inc.",AWS EC2 (us-east-1)
2026-04-22,79.116.20.17,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Spain,Digi Spain Telecom S.L.U.,Digi Spain Telecom S.A
2025-05-12,223.184.254.150,exploit_delivery,general_threat,2,1,0,Mobile ISP,19,1,2026-03-13T17:42:14+00:00,India,Bharti Airtel,Bharti Cellular limited
2025-08-29,172.86.102.83,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-06-10T02:54:18+00:00,United States,RouterHosting LLC,FranTech Solutions
2025-08-29,172.86.70.73,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Germany,RouterHosting LLC,FranTech Solutions
2026-04-22,13.107.219.0,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,Canada,Microsoft Corporation,Microsoft Corporation
2026-04-22,102.37.24.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,Microsoft Corporation,Microsoft Azure Cloud (southafricanorth)
2025-08-29,45.61.154.130,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United Kingdom,FranTech Solutions,RouterHosting LLC
2026-04-22,1.0.153.172,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2021-06-17T05:58:34+00:00,Thailand,TOT Public Company Limited,TOT Public Company Limited
2026-04-22,111.125.138.29,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,India,Spacenet  Pvt Ltd,509 Jaina tower 1st District Center
2025-07-23,188.130.206.168,espionage,general_threat,4,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-07-23T21:31:24+00:00,Finland,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED
2026-04-22,34.126.178.96,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Singapore,Google LLC,Google Cloud (asia-southeast1)
2026-02-20,147.45.45.110,unknown_attack,general_threat,3,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,The Netherlands,Neon Core Network LLC,Partner Hosting LTD
2026-04-22,45.90.28.41,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,United States,"nextdns, Inc.","nextdns, Inc"
2026-04-22,185.189.100.211,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Russia,"LTD ""Erline""","LTD ""Rline"""
2026-04-22,8.20.247.55,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,United States,Flexential Corp,"DNS.com, LLC"
2026-04-22,13.107.246.0,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,Canada,Microsoft Corporation,Microsoft Corporation
2025-05-12,188.166.87.88,exploit_delivery,general_threat,2,1,2,Data Center/Web Hosting/Transit,18,1,2026-04-07T14:44:57+00:00,Netherlands,"DigitalOcean, LLC",Digital Ocean
2026-04-22,1.241.99.248,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,South Korea,SK Broadband Co Ltd,broadNnet
2026-04-22,150.171.40.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,Microsoft Corporation,Microsoft Corporation
2026-04-22,104.255.56.28,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,"Amazon.com, Inc.",Amazon Technologies Inc. (us-east-1)
2026-04-22,23.103.160.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Japan,Microsoft Corporation,Microsoft Corporation
2026-04-22,104.255.59.122,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,India,"Amazon.com, Inc.",Amazon Technologies Inc. (ap-south-2)
2025-08-29,172.86.101.123,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,RouterHosting LLC,FranTech Solutions
2026-04-22,58.82.128.73,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2023-12-28T20:30:30+00:00,Thailand,JasTel Network,Unknown
2026-04-22,61.100.13.46,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Korea,Sejong Networks,Hostway
2026-02-01,146.0.41.206,espionage,mobile_devices,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Germany,WIIT AG,Myloc De Steffenruehl
2026-04-22,1.178.86.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,"Amazon.com, Inc.",AWS EC2 (us-east-2)
